ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
H01,締結材,基礎部の追加ねじ・ナット・座金,詳細は締結部品表、基礎部50点,1,式,,個別パック未確定,,,,2300,JPY,予算枠,数量確定・購入単位未確定,,,50,従来66点から三角板用M6ねじ8本・座金8枚を削除。溝ナット8個の削除はF04。2300円の一式仮枠は購入パック未確定のため据置き、16点の削減を架空の節約額へ換算しない。モーターねじFC-2512候補を含む。
MW,締結材,モーター座面用小径平座金,WILCO FW-2505-05EB、2.7×5×0.5mm,6,枚,10,10枚一括購入（数量割引）,1,4,319.0,319.0,JPY,販売表示・条件付き,型式選定済,WILCO,https://wilco.jp/products/F/FW-EB.html,6,10枚以上29円/枚は税別。10枚税込319円、予備4枚。最低注文数が10枚という意味ではない。
E02,電装候補,Pico接続用USBデータケーブル,Pico H側micro-B、ホスト側端子・長さ未定,1,本,,必要1本、商品未選定,,,,500,JPY,予算枠,予算枠,,,0,充電専用品を選ばない。旧USB-RS485B向けの記載を修正。
ELEC_S1,電装候補,非常停止スイッチ,IDEC XA1E-BV302R／2NC、φ16.2mm取付,1,個,1,1個×1,1,0,3298.0,3298,JPY,販売表示・条件付き,回路候補・実装前,,https://www.monotaro.com/p/6051/3817/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_K1_K2,電装候補,駆動電源遮断リレー,Omron G5LE-1 DC5／DC5Vコイル、NO接点を2個直列,2,個,2,1個×2,2,0,385.0,770,JPY,販売表示・条件付き,回路候補・実装前,,https://jp.rs-online.com/web/p/power-relays/0369466,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U1,電装候補,モーター制御・監視マイコン,Raspberry Pi Pico H SC0917／Pico H、RS485の唯一のマスタ,1,個,1,1個×1,1,0,920.0,920,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g118085/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U2,電装候補,外部ウォッチドッグIC,CD74HC123E／再トリガ型ハートビート監視,1,個,1,1個×1,1,0,140.0,140,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11488/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U3,電装候補,手動再始動ラッチIC,TC74HC74AP／ARM押下エッジで許可,1,個,1,1個×1,1,0,33.0,33,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11476/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS1,電装候補,監視回路用DC/DC,M78AR05-1／5V 1A、主計算機用とは別,1,個,1,1個×1,1,0,850.0,850,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113536/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U4,電装候補,RS485トランシーバIC,MAX3485ED (HTC)／3.3V、IC単体,1,個,1,1個×1,1,0,70.0,70,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116211/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_RDUMP,電装候補,回生吸収抵抗,ARCOL HS50 22R J／22Ω 50W、放熱条件付き,1,個,1,1個×1,1,0,1033.0,1033,JPY,販売表示・条件付き,回路候補・実装前,,https://www.monotaro.com/g/02255191/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U5,電装候補,クランプ比較器,LM393GN／バス過電圧検出,1,個,1,1個×1,1,0,30.0,30,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116987/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U6,電装候補,クランプ基準電圧IC,TL431A (HTC)／基準2.495V、調整必要,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g112018/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_QCLAMP,電装候補,クランプMOSFET,2SK2232／抵抗のON/OFFスイッチ,1,個,1,1個×1,1,0,100.0,100,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g102414/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS2,電装候補,クランプ制御用レギュレータ,LM78L12／12V、モーターバスから給電,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113464/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_D0,電装候補,電池への逆流防止ダイオード,SBM1060LSS／60V 10A、10個入り,1,個,10,10個入り×1,1,9,300.0,300,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116378/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
S02,送料,キャスター送料,,1,式,,送料／諸費1式,,,,0,JPY,販売表示・条件付き,既存Prime会員の対象配送条件で0円,Amazon.co.jp（Prime会員条件）,https://www.aboutamazon.jp/news/guide/answer-to-7-questions-about-shopping-at-amazon,0,Amazon公式の会員配送規定を適用する条件。会員ログイン後の最終注文額ではない。非会員の単品購入は別送料。新規会費は含めない。コーナン店舗受取なら商品283円＋受取送料0円。
S03,送料,フレーム・残存素材の追加送料枠,,1,式,,送料／諸費1式,,,,1000,JPY,予算枠,参考・条件付き,Amazonほか,,0,1000円は仮枠。荷台DECK_SHIPとCNC送料は別。
S04,送料,純正接合部・溝ナットの送料枠,,1,式,,送料／諸費1式,,,,,JPY,住所・同梱条件未確定,送料未確定,未確定,,0,"ミスミAmazon出品の3,000円以上送料無料表示。カート・配送先で確認。"
S06,送料,タイヤ国内通常送料,,1,式,,送料／諸費1式,,,,0,JPY,販売表示・条件付き,参考・条件付き,スイッチサイエンス,https://www.switch-science.com/policies/shipping-policy,0,2キット9240円を同時注文する条件で0円。
S07,送料,Taobao送料・輸入諸費,,1,式,,送料／諸費1式,,,,,JPY,未見積,未見積,Taobao等,,0,無料と仮定しない。配送・代行・税・為替未確定。
S08,送料,CNC日本宛送料,,1,式,,送料／諸費1式,,,,7.23,USD,実サイト自動見積,参考・条件付き,JLCCNC／OCS,https://jlccnc.com/jp/cnc-machining-quote,0,OCS表示7.23USD。住所別差額・税・決済換算別。
F03,D3荷台・フレーム,純正反転ブラケット本体,HBLFSN6,20,個,20,10個/パック,2,0,917,1834,JPY,2026-09-22 P1商品確認を継承,寸法選定済・実機検証前,Amazon掲載,https://www.amazon.co.jp/dp/B0DKF1FCD6,20,基礎8個＋支柱下端8個＋上端4個。D6.1の根元両側固定は購入予定パックの余り4個で対応。917円/パックは同日P1/D5の観測を継承。SUS支柱との混用は公称断面適合、現物の突起・座面確認が必要。
F04,D3荷台・フレーム,車体全体の先入れ溝ナット,HNTT6-6,70,個,100,50個/パック,2,30,2556,5112,JPY,2026-09-22 商品ページ2556円/50個を再確認,寸法選定済・実機検証前,Amazon掲載,https://www.amazon.co.jp/dp/B0DK9C99YH,70,既存50個＋支柱金具24個＋D6.2継ぎ目支持梁4個－D6.3三角板用8個。購入予定100個の内数、30個余り。SUS支柱側12個も公称同寸法のHNTT6-6、混用受入確認前。
D3_M6,D3荷台・フレーム,ブラケット・天板固定ボルト,M6x12 六角穴付、CBM6-12相当,50,個,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,下段ブラケット16＋上段支柱金具24＋天板6＋D6.2支持梁4。旧電池受けから移す別枠4本はH01に含み重複計上しない。D5から追加28本、D6.1から追加4本の購入価格未確定。
D3_STOP_BOLTS,D3荷台・フレーム,印刷ストッパ固定ねじ,M4x25 六角穴付,8,個,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,PLA位置決め部品40x15x15を一個2本で固定。主荷物保持はベルト。
D3_STOP_NUTS,D3荷台・フレーム,ストッパ・床継ぎ目用ナット,M4 六角ナット 対辺7 厚3.2,12,個,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,荷物ストッパ8個＋床継ぎ目4個。共通購入へ集約し二重計上しない。
D3_STOP_WASHERS,D3荷台・フレーム,ストッパ用座金,M4 ID4.3～4.4 OD9 t0.8（荷物ストッパ用）,8,枚,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,荷物ストッパ8枚。床継ぎ目のOD12座金8枚はD64_FLOOR_WASHERSへ分離。
P04,D6 PLA,四隅まで覆うリブ付き床4枚・継ぎ目支持梁1個・荷物ストッパ4個,D6.4全PLA、中実CAD換算、PC受け一体,602,g,0,,,,,1204,JPY,材料消費参考,寸法選定済・実機検証前,,,,2円/gの材料消費参考。D5の電池受け・床下電装受け・前トレイを全て廃止。実スライス、失敗、電力、工賃別。荷台構造は金属。
D3_STRAP_SHIP,D3荷台・フレーム,荷物固定ベルト送料参考,従来の地域表示を継承,1,個,,,,,,600,JPY,過去の地域表示参考,寸法選定済・実機検証前,,,,旧角棒送料600円を除去。住所別未確認。
DECK_plate,D3荷台・フレーム,D3格子穴アルミ天板,300x300x4 / 6061-T6 / C45_D3 / qty1,1,枚,1,1枚×1,1,0,,28.67,USD,修正版STEP/PDFのJLCCNC実自動見積,寸法選定済・実機検証前,JLCCNC,https://jlccnc.com/jp/cnc-machining-quote,,加工は材料・全50丸穴・4長穴込み。送料は国単位。担当者審査・税・決済手数料別、未発注。 D6では組付け位置のみ130mm上へ変更。加工STEP/PDFはD3と同一。
DECK_CNC_SHIP,D3荷台・フレーム,D3天板 日本宛UPS表示送料,300x300x4 / 6061-T6 / C45_D3 / qty1,1,個,,,,,,9.98,USD,修正版STEP/PDFのJLCCNC実自動見積,寸法選定済・実機検証前,,https://jlccnc.com/jp/cnc-machining-quote,,加工は材料・全50丸穴・4長穴込み。送料は国単位。担当者審査・税・決済手数料別、未発注。
POWER_KIT,D5選定電源,純正電池＋急速充電器,Makita BL1860B A-60464 x1 + DC18RF JPADC18RF x1,1,式,1,1式,1,0,19800,19800,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/takahashihonsha/0088381464031-0088381523394-s.html,,どちらも未所有のため新規購入。新品セットばらし・化粧箱なし。充電器は車外。電池単体を別行で二重計上しない。
POWER_KIT_SHIP,D5選定電源,電池・充電器セット送料,東京都表示送料,1,式,1,1式,1,0,600,600,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/takahashihonsha/0088381464031-0088381523394-s.html,,住所・注文条件により変動。ポイントは値引き計上しない。
POWER_ADAPTER,D5選定電源,電池出力アダプター,Netkey diy-adapter03、14AWG、スイッチ・30Aヒューズ付き,1,式,1,1式,1,0,2180,2180,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/netkey-store/diy-adapter03.html,,公称約95×90×30mm・123g。全高30mmを加算。低電圧保護には使わない。付属30Aのまま小ハーネス保護を保証しない。
POWER_ADAPTER_SHIP,D5選定電源,アダプター送料,東京都表示送料,1,式,1,1式,1,0,800,800,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/netkey-store/diy-adapter03.html,,発送予定のある商品。ユーザー住所と最終納期は未確認。
POWER_PADS,D5選定電源,電池・電装の軟質当て材,電池・他電装下面2.6mm、PC受け10×10×1mmを4枚、上面1mm等の軟質当て材,1,式,1,1式,1,0,,,JPY,購入単価未確定,型式選定・現物／電気検証前,,,,PCの硬い受け5.6mmは床に一体印刷。パッドは現物合わせ、温度適合確認前。価格未確定。
POWER_LOW_STRAPS,D6 1階電装,1階計算機・監視回路の保持ベルト,幅15mm、PC用・監視基板用各1本,2,本,,商品未選定,,,,,JPY,購入単価未確定,型式選定・現物／電気検証前,,,,幅15mm各1本、棚の長手方向に掛ける。受け棚は既存M6で固定。ケース選定後に通気口を避けて調整。
D6_POSTS,D6 上段支持,100mm溝付き支柱4本,SUS SF2-30・30 BLACK／SF9-322、100mm×4本,4,本,4,4本/パック,1,0,495,495,JPY,2026-09-22 Amazon商品ページ表示,型式・メーカー断面CAD確認、金具混用の現物確認前,Amazon掲載,https://www.amazon.co.jp/dp/B0CB5N6ZJJ,4,ブラック100mm4本を選択。メーカー単位質量0.84kg/m。切断・端面タップ・追加穴加工なし。通常5～6日以内発送の表示、送料・Prime配送は未確認。
D62_FLOOR_SCREWS,D6.4 1階床支持,床継ぎ目の通常六角穴付きねじ,オノカツ133-00-0416、M4×16、JIS B1176、頭径7×高さ4mm,4,個,60,60本/パック,1,56,770,770,JPY,2026-09-23 メーカー直販ページ770円税込/60本,汎用規格品の購入候補、未購入,オノカツ公式ストア,https://store.onokatsu.co.jp/products/133-00-04,4,4本使用。皿穴を廃止、上下面OD12座金と既存M4ナットで締結。送料別行。小袋や手持ち同等品なら全パック購入は不要。
D62_BEAM_WASHERS,D6.2 1階床支持,継ぎ目支持梁端の大径平座金,M6 ID6.6 OD18 t1.6,4,個,,,,,,,JPY,購入単価未確定,寸法選定済・購入パック未確定,,,4,汎用金属締結材。PLAへのタップではなく貫通締結。追加加工見積は不要。コーナン等の小袋を優先し、価格は未計上。
D64_FLOOR_WASHERS,D6.4 1階床支持,床継ぎ目の上下大径平座金,nejiya.jp 4104012104、4×12×1ステンレス丸ワッシャー,8,枚,50,50枚/パック,1,42,288,288,JPY,2026-09-23 出店者商品ページ288円/50枚,汎用規格品の購入候補、寸法受入確認前,nejiya.jp Yahoo店,https://store.shopping.yahoo.co.jp/nejiya-jp/4104012104.html,8,上4枚追加＋下4枚をOD9から交換。CAD内径4.1は公称モデル。販売店は呼び4で工場独自公差と記載、軸との嵌合・外径・厚みを受入確認。送料別行。
D64_FASTENER_SHIP,送料,中央ねじ・座金の別店舗送料,オノカツ385円＋nejiya.jp390円、北海道・沖縄を除く掲載条件,1,式,1,2店舗分,1,0,775,775,JPY,2026-09-23 両店の送料表示,配送先未指定の参考送料,各販売店,https://store.onokatsu.co.jp/pages/user-guide,,オノカツ3300円未満385円、北海道・沖縄900円。nejiya5500円未満390円、条件により異なる。まとめ買い・店頭購入なら再計上し二重加算しない。
U01,未選定・未計上,独立した電池低電圧保護回路,選定済みBL1860B・接続アダプターとは別のUVLO回路,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。電池・充電器・アダプター代はPOWER各行で計上済み。独立保護回路の部品・基板・実装費は未見積。
U03,未選定・未計上,上位計算機・記憶媒体・冷却,1階120×100×60mm、質量0.50kgの予約。製品未選定。,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。本体・記憶媒体・冷却の選定と購入価格を確定。重量枠があることは代金計上済みを意味しない。
U04,未選定・未計上,上位計算機用DC/DC,計算機決定後に出力を決定,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1台。監視用5V/1Aとは別回路
U05,未選定・未計上,ARM押ボタン,新しい押下エッジを検出,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1個。接点・デバウンスを確定
U06,未選定・未計上,主電源スイッチ・主コネクタ,DC電源に適合,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。アダプター付属スイッチと重複計上せず、主遮断・着脱コネクタの必要部品を確定。
U07,未選定・未計上,ヒューズ・ホルダー,仮値F0 10A/Fdrv 7.5A/FL・FR各3A/Fctl 1A、Fpc未定,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：5回路＋計算機系。DC遮断定格、突入、線材許容電流で型式と数量を確定
U08,未選定・未計上,制御・分配基板とコネクタ,回路図・PCB未完,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。候補ICを実装するための基板、端子台、取付を確定
U09,未選定・未計上,リレーコイル駆動・保護部品,トランジスタ・逆起電力保護,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：2回路分。実回路の部品型式・定数・数量を確定
U10,未選定・未計上,レベル変換・デバウンス・電源投入リセット,Pico3.3Vと5V監視回路間,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。回路確定後に受動部品まで展開
U11,未選定・未計上,抵抗・コンデンサ・終端抵抗,クランプ・監視・RS485周辺,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。値の候補は回路資料にあるが実装数量・終端内蔵有無未確定
U12,未選定・未計上,電圧・電流計測部品,車載監視と調整用,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。実装回路・測定レンジ・校正を確定
U13,未選定・未計上,電源線・信号線・圧着端子・結束材,主幹/延長線0.75mm²を出発点、RS485はツイストペア,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：長さ・個数未定。現行の1階配線経路から線長・端子数を確定。購入品付属線との重複を避ける。
U14,未選定・未計上,放熱固定具・ガード・絶縁材,回生抵抗と電源回路用,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。放熱面・端子カバー・温度を確認
U15,未選定・未計上,電装固定板・ケース・スタンドオフ,D6.4の1階機器・ケース・通風・取付の具体化,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：数量未定。PLA床とベルトの既計上分を除き、ケース・実機器の固定部・スタンドオフを選定。
U16,未選定・未計上,未確定送料・税・決済換算,WILCO・電装店・Taobao・CNC等,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。送料行で計上済みの分を重複加算しない
U17,未選定・未計上,加工工具・作業費・残る自加工品の外注費,穴加工、切断、面取り、締付・測定工具,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：必要に応じて。見積済みモーター金具・アルミ天板を除く。キャスター板の加工工具、工賃などは未見積。基礎の平面三角板はD6.3で廃止、加工も不要。切断済み支柱に追加加工は不要。
U18,未選定・未計上,PLA仮合わせモックの材料消費,金具本体・確認片の試作,,,,,,,,,JPY,未見積,製作補助／未選定,,,,必要数量：スライス後。現行P04の車体用PLA602gとは別のモック材料・失敗分。スライス未完。
U19,未選定・未計上,自律移動用LiDAR・IMU・カメラ等,後工程の自己位置推定・障害物検出,,,,,,,,,JPY,未見積,将来自律移動／未選定,,,,必要数量：未選定。今回の小計は走行台車と電装候補。自律移動一式の完成価格ではない
U20,未選定・未計上,荷物容器・敷板,連続平底200×200mm、重心範囲内,,,,,,,,,JPY,未見積,積載物／未選定,,,,必要数量：1式。荷台上の積載物として重量算入。手持ち品利用可
