ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
DECK_plate,荷台,荷台用アルミ板,ESCO EA441VC-41、A5052 300×300×4mm,1,枚,1,1枚×1,1,0,4521.0,4521,JPY,販売表示・条件付き,材料候補,モノタロウ,https://www.monotaro.com/p/4993/2618/,1,14丸穴＋30×6長穴4か所を自加工。調質・板厚受入確認。
DECK_square_bar,荷台,荷台支持・ストッパ用アルミ角棒,光 AS6151、15×15×995mm,1,本,1,定尺995mm×1,1,0,1507.0,1507,JPY,販売表示・条件付き,材料候補,あきばおー／Yahoo!,https://store.shopping.yahoo.co.jp/akibaoo/4977720061511.html,6,300mm×2＋50mm×4＝800mm使用。切りしろ18mm想定、端材約177mm。
DECK_cargo_straps,荷台,荷物固定ベルト,E-Value BT-2520BK、25mm×2m,2,本,2,1本×2,2,0,393.0,786,JPY,販売表示・条件付き,型式候補,ホームセンターブリコ／Yahoo!,https://store.shopping.yahoo.co.jp/hcbrico/4977292226752.html,0,駆動伝達用ではなく荷物固定用。容器・敷板は積載重量に含める。
DECK_fasteners_and_extra_slotnuts,荷台,荷台締結材一式,M6×30×6、M6座金×12、HNTT6-6×6、M4×25/座金/ナット各8,1,式,,個別パック未確定,,,,1500,JPY,予算枠,数量確定・購入単位未確定,,,48,詳細は締結部品表。1500円は一式仮枠。F04/H01と重複しない。
DECK_edge_protection_and_slack_retention,荷台,ベルト接触部の保護材・余長固定,パッド／エッジ保護／結束部材,1,式,,未選定,,,,300,JPY,予算枠,予算枠,,,0,長穴・金属角との接触保護、ベルト端の巻込み防止。
P04,電池・PLA,電池クレードル・電装トレイ用PLA,手持ちPLAの消費量300g仮枠,300,g,0,手持ち材料から消費／購入0,0,,,600,JPY,予算枠,既所有材料を使う前提,手持ちPLA,,3,CAD内3部品を製作。実スライス未実施。600円は材料消費評価で、新規スプール購入額ではない。金具の仮合わせモックは別。
H02,電池・PLA,電池固定ストラップ,型式・幅・長さ未選定,2,本,,必要2本、販売単位未確定,,,,500,JPY,予算枠,予算枠,,,0,荷物固定ベルトとは別。実電池に合わせて決定。
H01,締結材,基礎部の追加ねじ・ナット・座金,詳細は締結部品表、追加66点,1,式,,個別パック未確定,,,,2300,JPY,予算枠,数量確定・購入単位未確定,,,66,2300円は一式仮枠。モーターねじFC-2512候補を含む。溝ナット・MW・荷台用は別予算。
MW,締結材,モーター座面用小径平座金,WILCO FW-2505-05EB、2.7×5×0.5mm,6,枚,10,10枚一括購入（数量割引）,1,4,319.0,319.0,JPY,販売表示・条件付き,型式選定済,WILCO,https://wilco.jp/products/F/FW-EB.html,6,10枚以上29円/枚は税別。10枚税込319円、予備4枚。最低注文数が10枚という意味ではない。
E02,電装候補,Pico接続用USBデータケーブル,Pico H側micro-B、ホスト側端子・長さ未定,1,本,,必要1本、商品未選定,,,,500,JPY,予算枠,予算枠,,,0,充電専用品を選ばない。旧USB-RS485B向けの記載を修正。
ELEC_S1,電装候補,非常停止スイッチ,IDEC XA1E-BV302R／2NC、φ16.2mm取付,1,個,1,1個×1,1,0,3298.0,3298,JPY,販売表示・条件付き,回路候補・実装前,,https://www.monotaro.com/p/6051/3817/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_K1_K2,電装候補,駆動電源遮断リレー,Omron G5LE-1 DC5／DC5Vコイル、NO接点を2個直列,2,個,2,1個×2,2,0,385.0,770,JPY,販売表示・条件付き,回路候補・実装前,,https://jp.rs-online.com/web/p/power-relays/0369466,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U1,電装候補,モーター制御・監視マイコン,Raspberry Pi Pico H SC0917／Pico H、RS485の唯一のマスタ,1,個,1,1個×1,1,0,920.0,920,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g118085/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U2,電装候補,外部ウォッチドッグIC,CD74HC123E／再トリガ型ハートビート監視,1,個,1,1個×1,1,0,140.0,140,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11488/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U3,電装候補,手動再始動ラッチIC,TC74HC74AP／ARM押下エッジで許可,1,個,1,1個×1,1,0,33.0,33,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11476/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS1,電装候補,監視回路用DC/DC,M78AR05-1／5V 1A、主計算機用とは別,1,個,1,1個×1,1,0,850.0,850,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113536/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U4,電装候補,RS485トランシーバIC,MAX3485ED (HTC)／3.3V、IC単体,1,個,1,1個×1,1,0,70.0,70,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116211/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_RDUMP,電装候補,回生吸収抵抗,ARCOL HS50 22R J／22Ω 50W、放熱条件付き,1,個,1,1個×1,1,0,1033.0,1033,JPY,販売表示・条件付き,回路候補・実装前,,https://www.monotaro.com/g/02255191/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U5,電装候補,クランプ比較器,LM393GN／バス過電圧検出,1,個,1,1個×1,1,0,30.0,30,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116987/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U6,電装候補,クランプ基準電圧IC,TL431A (HTC)／基準2.495V、調整必要,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g112018/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_QCLAMP,電装候補,クランプMOSFET,2SK2232／抵抗のON/OFFスイッチ,1,個,1,1個×1,1,0,100.0,100,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g102414/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS2,電装候補,クランプ制御用レギュレータ,LM78L12／12V、モーターバスから給電,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113464/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_D0,電装候補,電池への逆流防止ダイオード,SBM1060LSS／60V 10A、10個入り,1,個,10,10個入り×1,1,9,300.0,300,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116378/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
S02,送料,キャスター送料,,1,式,,送料／諸費1式,,,,650,JPY,過去価格の引継ぎ,参考・条件付き,タナカ金物,,0,本州・4900円未満という旧確認条件。配送先で確定。
S03,送料,フレーム・残存素材の追加送料枠,,1,式,,送料／諸費1式,,,,1000,JPY,予算枠,参考・条件付き,Amazonほか,,0,1000円は仮枠。荷台DECK_SHIPとCNC送料は別。
S04,送料,純正接合部・溝ナットの送料枠,,1,式,,送料／諸費1式,,,,500,JPY,予算枠,参考・条件付き,未確定,,0,500円は仮枠。個人購入経路未確定。
S06,送料,タイヤ国内通常送料,,1,式,,送料／諸費1式,,,,0,JPY,販売表示・条件付き,参考・条件付き,スイッチサイエンス,https://www.switch-science.com/policies/shipping-policy,0,2キット9240円を同時注文する条件で0円。
S07,送料,Taobao送料・輸入諸費,,1,式,,送料／諸費1式,,,,,JPY,未見積,未見積,Taobao等,,0,無料と仮定しない。配送・代行・税・為替未確定。
DECK_SHIP,送料,荷台材料の送料参考,,1,式,,送料／諸費1式,,,,1200,JPY,販売表示・条件付き,参考・条件付き,Yahoo!ほか,,0,角棒600円＋ベルト600円の地域表示例。荷台板通常送料0円条件。
S08,送料,CNC日本宛送料,,1,式,,送料／諸費1式,,,,7.23,USD,実サイト自動見積,参考・条件付き,JLCCNC／OCS,https://jlccnc.com/jp/cnc-machining-quote,0,OCS表示7.23USD。住所別差額・税・決済換算別。
